lambda	Flux	e_Flux
0.1nm	10-2W/m2/nm	10-2W/m2/nm
---------	----------	----------
5296.4580	5.2353e-12	3.4407e-14
5297.7080	5.2124e-12	3.3477e-14
5298.9580	5.3706e-12	2.9208e-14
5300.2080	5.3510e-12	3.8539e-14
5301.4580	5.2079e-12	3.2291e-14
5302.7080	5.2928e-12	2.9298e-14
5303.9580	5.3957e-12	3.3852e-14
5305.2080	5.3189e-12	3.5332e-14
5306.4580	5.2653e-12	3.3519e-14
5307.7080	5.3231e-12	3.3764e-14
5308.9580	5.4024e-12	3.6166e-14
5310.2080	5.4288e-12	3.4943e-14
5311.4580	5.3769e-12	3.5019e-14
5312.7080	5.2998e-12	3.5088e-14
5313.9580	5.2243e-12	3.5886e-14
5315.2080	4.9052e-12	3.6101e-14
5316.4580	4.8557e-12	2.7120e-14
5317.7080	5.2436e-12	3.0696e-14
5318.9580	5.4161e-12	3.0998e-14
5320.2080	5.4338e-12	3.0534e-14
5321.4580	5.3948e-12	3.6921e-14
5322.7080	5.1632e-12	3.7274e-14
5323.9580	4.9618e-12	3.1294e-14
5325.2080	5.0364e-12	3.2941e-14
5326.4580	4.8596e-12	3.0486e-14
5327.7080	4.6043e-12	2.3484e-14
5328.9580	4.9407e-12	3.0444e-14
5330.2080	5.3417e-12	3.1388e-14
5331.4580	5.3943e-12	3.6484e-14
5332.7080	5.3269e-12	3.6384e-14
5333.9580	5.2340e-12	3.2975e-14
5335.2080	5.1281e-12	3.1755e-14
5336.4580	5.0400e-12	3.1571e-14
5337.7080	5.0288e-12	3.4242e-14
5338.9580	4.9533e-12	3.2304e-14
5340.2080	4.9845e-12	3.3860e-14
5341.4580	5.2430e-12	3.3819e-14
5342.7080	5.3727e-12	3.0669e-14
5343.9580	5.3333e-12	3.4802e-14
5345.2080	5.2276e-12	3.5397e-14
5346.4580	5.2530e-12	3.3997e-14
5347.7080	5.2745e-12	3.3047e-14
5348.9580	5.2250e-12	3.7891e-14
5350.2080	5.3133e-12	3.4032e-14
5351.4580	5.3526e-12	3.4157e-14
5352.7080	5.2950e-12	3.4637e-14
5353.9580	5.4101e-12	3.3961e-14
5355.2080	5.5091e-12	3.2790e-14
5356.4580	5.5162e-12	3.4722e-14
5357.7080	5.5027e-12	3.6676e-14
5358.9580	5.4763e-12	3.4891e-14
5360.2080	5.3658e-12	3.5422e-14
5361.4580	5.0718e-12	4.0265e-14
5362.7080	4.9576e-12	3.0813e-14
5363.9580	5.0071e-12	3.3943e-14
5365.2080	5.0722e-12	3.0397e-14
5366.4580	5.0921e-12	3.1424e-14
5367.7080	5.0481e-12	3.7619e-14
5368.9580	4.8786e-12	3.5335e-14
5370.2080	4.7156e-12	3.3842e-14
5371.4580	4.9515e-12	2.9850e-14
5372.7080	5.2687e-12	2.8766e-14
5373.9580	5.3781e-12	3.4403e-14
5375.2080	5.3795e-12	3.3038e-14
5376.4580	5.3488e-12	3.6892e-14
5377.7080	5.3306e-12	3.5543e-14
5378.9580	5.2287e-12	3.8666e-14
5380.2080	5.1239e-12	3.3716e-14
5381.4580	5.0440e-12	3.2320e-14
5382.7080	5.0429e-12	3.1785e-14
5383.9580	5.2492e-12	2.8365e-14
5385.2080	5.3678e-12	3.6208e-14
5386.4580	5.3491e-12	3.7265e-14
5387.7080	5.3073e-12	3.3411e-14
5388.9580	5.2266e-12	3.5147e-14
5390.2080	5.1887e-12	3.1710e-14
5391.4580	5.1211e-12	3.7521e-14
5392.7080	5.1228e-12	3.4878e-14
5393.9580	5.2261e-12	3.4843e-14
5395.2080	5.1025e-12	3.5671e-14
5396.4580	4.9136e-12	3.2482e-14
5397.7080	5.0402e-12	3.0896e-14
5398.9580	5.1422e-12	3.4309e-14
5400.2080	5.1089e-12	3.3532e-14
5401.4580	5.0400e-12	3.4433e-14
5402.7080	4.8193e-12	3.1681e-14
5403.9580	4.6658e-12	2.7618e-14
5405.2080	4.7829e-12	3.4234e-14
5406.4580	5.0075e-12	3.7411e-14
5407.7080	5.0544e-12	3.3267e-14
5408.9580	4.8988e-12	3.5958e-14
5410.2080	4.8965e-12	3.2758e-14
5411.4580	5.1172e-12	3.7516e-14
5412.7080	5.0969e-12	3.8235e-14
5413.9580	4.8988e-12	3.6333e-14
5415.2080	5.0262e-12	3.7207e-14
5416.4580	5.2522e-12	3.6231e-14
5417.7080	5.2437e-12	3.6985e-14
5418.9580	5.1938e-12	3.6402e-14
5420.2080	5.1739e-12	3.4066e-14
5421.4580	5.1603e-12	4.0560e-14
5422.7080	4.9262e-12	3.9676e-14
5423.9580	4.7403e-12	4.0159e-14
5425.2080	5.0184e-12	3.4033e-14
5426.4580	5.2387e-12	3.2712e-14
5427.7080	5.0706e-12	4.0236e-14
5428.9580	4.8718e-12	4.3662e-14
5430.2080	5.0403e-12	3.8407e-14
5431.4580	5.1287e-12	3.6140e-14
5432.7080	4.9502e-12	4.0002e-14
5433.9580	4.9267e-12	3.6344e-14
5435.2080	5.1082e-12	3.6168e-14
5436.4580	5.2844e-12	3.0850e-14
5437.7080	5.3422e-12	3.9705e-14
5438.9580	5.3383e-12	3.5106e-14
5440.2080	5.3272e-12	3.7475e-14
5441.4580	5.3206e-12	3.8328e-14
5442.7080	5.2483e-12	3.4704e-14
5443.9580	5.0262e-12	3.9844e-14
5445.2080	4.7740e-12	4.3367e-14
5446.4580	4.8214e-12	3.7377e-14
5447.7080	5.1384e-12	3.2189e-14
5448.9580	5.3046e-12	3.9426e-14
5450.2080	5.3123e-12	3.6816e-14
5451.4580	5.2943e-12	3.6976e-14
5452.7080	5.2180e-12	3.8738e-14
5453.9580	4.9001e-12	4.9846e-14
5455.2080	4.8073e-12	3.4949e-14
5456.4580	5.1235e-12	3.1741e-14
5457.7080	5.2965e-12	4.1206e-14
5458.9580	5.3060e-12	3.9975e-14
5460.2080	5.2377e-12	4.2990e-14
5461.4580	4.9755e-12	4.7070e-14
5462.7080	4.8697e-12	3.2072e-14
5463.9580	5.0600e-12	3.5519e-14
5465.2080	5.1026e-12	4.3974e-14
5466.4580	5.0984e-12	3.6705e-14
5467.7080	5.1996e-12	3.7603e-14
5468.9580	5.2514e-12	3.9399e-14
5470.2080	5.2347e-12	3.8373e-14
5471.4580	5.1147e-12	4.7706e-14
5472.7080	5.0056e-12	3.7405e-14
5473.9580	4.9727e-12	4.1330e-14
5475.2080	4.6474e-12	4.9229e-14
5476.4580	4.4808e-12	2.9465e-14
5477.7080	4.8116e-12	3.6209e-14
5478.9580	5.0201e-12	4.2878e-14
5480.2080	4.9938e-12	3.8897e-14
5481.4580	5.0496e-12	3.4983e-14
5482.7080	5.1702e-12	3.9657e-14
5483.9580	5.2206e-12	4.0090e-14
5485.2080	5.1670e-12	4.4827e-14
5486.4580	5.0353e-12	4.0016e-14
5487.7080	5.0444e-12	4.0544e-14
5488.9580	5.1465e-12	4.0699e-14
5490.2080	5.1736e-12	4.2762e-14
5491.4580	5.1418e-12	3.7851e-14
5492.7080	5.0980e-12	4.1777e-14
5493.9580	5.1185e-12	4.1878e-14
5495.2080	5.0841e-12	4.1017e-14
5496.4580	4.9337e-12	4.1933e-14
5497.7080	4.9960e-12	4.2447e-14
5498.9580	5.1384e-12	4.1140e-14
5500.2080	4.9955e-12	4.0463e-14
5501.4580	4.8330e-12	4.0235e-14
5502.7080	4.9187e-12	4.0963e-14
5503.9580	5.0390e-12	4.1444e-14
5505.2080	4.9472e-12	4.2271e-14
5506.4580	4.8794e-12	4.0401e-14
5507.7080	4.8905e-12	3.8652e-14
5508.9580	4.8173e-12	4.1926e-14
5510.2080	4.8633e-12	4.2080e-14
5511.4580	4.9941e-12	4.2339e-14
5512.7080	5.0845e-12	4.1826e-14
5513.9580	5.1535e-12	4.4559e-14
5515.2080	5.1610e-12	4.0338e-14
5516.4580	5.1625e-12	4.3363e-14
5517.7080	5.1538e-12	4.3017e-14
5518.9580	5.1226e-12	4.2502e-14
5520.2080	5.0743e-12	3.9174e-14
5521.4580	5.0678e-12	4.2490e-14
5522.7080	5.1029e-12	4.0570e-14
5523.9580	5.0391e-12	4.0166e-14
5525.2080	4.9917e-12	4.4296e-14
5526.4580	4.8941e-12	4.2023e-14
5527.7080	4.7725e-12	4.6787e-14
5528.9580	4.8915e-12	3.5132e-14
5530.2080	5.0559e-12	3.9533e-14
5531.4580	5.0777e-12	3.9858e-14
5532.7080	4.9278e-12	4.5419e-14
5533.9580	4.6768e-12	4.8028e-14
5535.2080	4.7824e-12	3.5925e-14
